,album,song_title,text
10,"Пыльная быль",Санкт-Петербургское небо,комната окно на площадь рваный флаг по ветер женщина в дом напротив сжигать нетленный письмо а над она голова санкт петербургский небо лестница десять пролёт каждый изучить до боль трамвай забитый человек но я не чувствовать локоть я еда в облачный край к санкт петербургский небо дать хоть немного свобода птица парить в прицел имя некуда быть лететь если ты рухнуть на город здравствовать осенний площадь пусть мой этаж не последний скоро я быть с ты мой санкт петербургский небо
11,"Пыльная быль",Звери,ни окно ни пролёт ни дверь только чёрный мёртвый ночь в она забыть о грядущь спать усталый зверь отовсюду уйти прочь имя не хотеться думать о прошлое в это прошлое так много смерть в это прошлое прохлада клетка острожный и мелодия ржавый цепь имя не хотеться знать где они корень они надежда вдали от беда они свобода весь время уходить от погоня на бег заметать след зверь смотреть в печальный небо весь пытаться узреть небо край и на ужин у они ломтик чёрствый хлеб да подёрнуть тина чаять рассказать я о чем твой горе я принять твой боль как свой жаль что весь остальной разбежаться по нора мы оставить на самый край спеть я песня про крест и про купол про надежда и вера весь вера а любовь это клетка я опять загнать в угол как беспомощный раненый зверь и ни окно ни пролёт ни дверь
12,"Пыльная быль",Рыба без трусов,а по море да по волна сегодня здесь а завтра там я целый день плескаться в мор голый жопа к рыбак дурдома нет без дурак рыбалка нет рыбак а я рыба а я рыба а я рыба без трус па рано рано поутру я корча рожа осётр он подруга весь неделя метать красный икра и у я полно враг среди пузатый осетровый а я рыба а я рыба а я рыба без трус а я плыть куда хотеть и я поить я не молчать и шар земной не сам кружиться это я он вертеть пускай волноваться море покуда вертеться земля я выплывать на поверхность и видеть мачта корабль а я рыба без трус а я рыба без трус а я рыба а я рыба а я рыба без трус пускай волноваться море покуда вертеться земля я выплывать на поверхность и видеть мачта корабль а на борт сидеть пират он курить крепкий самосад он и начальник контрразведка и народный депутат он мочь весь что не мочь мы пред он трепетать весь ум он мочь росчерк перо в июль вызвать наступление зима спасти он кума от кума отдать бомж свой штаны и невиновный отпустить если надо из тюрьма порой я кажется что я обыкновенный свинья обыкновенный морской полосатый свинья я позволить пинать я позволить сожрать но перед это перед это ты суметь я поймать а я рыба без трус а я рыба без трус а я рыба а я рыба а я рыба без трус а по море да по волна сегодня здесь а завтра там а я рыба а я рыба а я рыба трам пам пам 
13,"Коллекционер оружия",Будь моей тенью,в этот ночь дивный цвет распуститься папоротник в этот ночь домовый вернуться домой туча с север ветер с запад значит скоро колдунья махнуть я рука я жить в ожидание чудо как маузер в кобура словно я паук в паутина словно дерево в пустыня словно чёрный лис в нора холодный я в горница дверь не открыться ключ у рак а рак на горе я бежать сквозь подзорный труба от испуганный глаз ребёнок я хотеть переспать с русалка но не знать как быть с она я хотеть обернуться трамвай и въехать в твой окно ветер дуть с окраина мы уже весь равно ветер дуть с окраина а мы весь равно быть мой тень скрипучий ступень цветной воскресение грибной дождь быть мой бог берёзовый сок электрический ток кривая ружьё я быть свидетель тот что ты ветер ты дуть в лицо я а я смеяться я не хотеть расставаться с ты без бой покуда ты я сниться быть мой тень хорошо танцевать на уголь c тем с кто как с сосна смола хорошо поливать молоко юный тело хорошо обернуться трамвай и въехать в твой окно ветер дуть с окраина мы уже весь равно ветер дуть с окраина а мы весь равно
14,"Коллекционер оружия",Любовь идёт по проводам,завтра на это место я сбить автомобиль телеграф уносить мой голос в сторона за тысяча миля электричество ерунда на постный масло вот ноль вот фаза и весь огонь погаснуть мы лежать втроём я и два сестра я хотеть они завести из они не вышибить искра я найти где плюс найти где минус если я не полюбить то вероятно я двинуться я открыть букварь читать по склад не верить никто любовь идти по проводы я любить человек любить когда они нет я бы выйти на балкон и разрядить бы пистолет но отлить ли кто серебряный пуля чтобы весь уста сомкнуться в бесконечный поцелуй я глотнуть вода совсем охрипнуть я идти по коридор я навстречу царь эдип у он нет глаз на немой нет лицо он трахнуть свой мать и завалить отец но чтобы очутиться у любовь в плена достаточно настроиться на нужный волна любовь есть здесь любовь есть там любовь звенеть ключ к любой замок любовь идти по проводы жить один мудрец теперь он нет он вернуться из китай и зажечь на кухня свет и к он пришлый соседка якобы за соль а сам снять трус и показать где она больно и мудрец сойти с ум набрать и по вызов явиться незнакомый господин и господин сойти с ум набрать и по вызов явиться незнакомый господин и господин сойти с ум набрать и по вызов явиться незнакомый господин и господин сказать ударить в барабан любовь идти по труба открыть кран любовь идти по труба открыть кран открыть кран и ложиться на диван любовь идти по труба открыть кран любовь идти по проводы любовь есть здесь любовь есть там любовь звенеть ключ к любой замок любовь идти по проводы любовь есть здесь любовь есть там любовь звенеть ключ к любой замок любовь звенеть ключ к любой сердце открыть кран и ложиться на диван любовь идти по проводы любовь идти по проводы любовь идти идти идти любовь идти по проводы
15,"Коллекционер оружия",Чёрный цвет солнца,весь круг разойтись и город окутать тьма двадцать год я смотреть в календарь и весь этот год в календарь зима и метель не давать мы уснуть не давать мы допеть до конец словно паралитический газ наполнить наш сердце у нея быть правило не доверять тем кто себя заслонять свет и я снять с нея платье а под платье бронежилет когда кончиться музыка взять пистолет и ждать крик сова я прийти умереть от любовь чтобы утром проснуться живой если ты слышать если ты слышать я время выйти а я не успеть показать ты чёрный цвета солнце лето уйти и уже никогда не вернуться осень хлебнуть ядовитый вода из колодец зима быть долгий но весь обойтись чёрный цвета солнце кто мы заметить кто улыбнуться кто мы подарить рассвет чёрный цвета солнце на вокзал так трудно поверить в то что где то идти поезд кто то поднять глаз на я и из глаз покатиться звезда разделить линия жизнь мы смотреть и видеть сквозь сон нехороший вести нести мы домой почтальон и шаг он гулко звучать в коридор сплошной темнота в отпечаток след он расти полевой цвета он идти открыть ты тайна заметить как в глаз меркнуть мир что весь этот год мы пить этиловый спирт если ты слышать если ты слышать я время выйти а я не успеть показать ты чёрный цвета солнце лето уйти и уже никогда не вернуться осень хлебнуть ядовитый вода из колодец зима быть долгий но весь обойтись чёрный цвета солнце кто мы заметить кто улыбнуться кто мы подарить рассвет чёрный цвета солнце ты мочь назвать этот песня набор бессмысленный фраза ты мочь заставить я молчать сказать что это приказ ты мочь разбить зеркало который помнить но лгать а я знать только один я знать весь река течь сквозь чёрный цвета солнце
16,"Коллекционер оружия",Самовар,горячий самовар медовый коврига она сжечь дрова и приняться за книга она не знать кто топить она в река один рука в кровь другой в молока и яблоневый цвета в кудрявый волос нога на земля главый в небо я говорить с ты до самый рассвет но твой открытый рота как дуть пистолет и я не знать кто топить ты в река один рука в кровь другой в молока и яблоневый цвета в кудрявый волос нога на земля главый в небо я показать ты полёт аэроплан я нарисовать паук на день стакан на день стакан муха плавиться от брага и бродить танк по мелованный бумага я рассказать ты как пчела строить соты я научить ты стрелять из пулемёт и ты услышать прикоснуться к полюс как гибнуть наш голос дремучий леса волшебный поляна черничный куст зализывать рана но в крик стрекоза в глаз у муравей есть место для ты есть место для я и яблоня взойти оставить мы дар с условие забыть весь правило игра я до сей пора не знать эльф ты или гоблин я знать опыт твой годами быть накопить ты известно как над замок реять флаг и бродить танк по мелованный бумага так рассказать же я как пчела строить дзот и прострелить я насквозь из пулемёт и я услышать прикоснуться к полюс как гибнуть наш голос
17,"Коллекционер оружия",Жертва талого льда,он петь и строка он течь печально как чёрный река звенеть рассыпаться зеркало на лицо и блик и время качать голова летать задумчивый сова над тем кто найти какой то свой путь в мудрый книга огонь обжигать он уста гитара сухой берест пылать и в запах костра я слышаться крик а ночь плавно уходить в степь с она вместе уходить он тень он сам отпустить она затем чтоб рука не вязать слеза ожерелие янтарь сверкать при свет фонарь как будто заря всходить для притихнуть зал он петь словно падать слеза он петь словно шаг и нет след он петь что никто и никогда река не держать жертва талый лёд движение от братство до родство в преддверие христов рождество цвета и руина торжество в декабрьский стужа и нота сойтись в один узор и в полночь явиться дирижёр и весь мы обратить он взор и стать послушный он петь мы молиться на он он петь мы плевать на он он петь и мы не знать никто кто быть он хороший жертва талый лёд снять палец с проводы и струна весь песнь расходиться к утро строка отлетать на ветер и меркнуть в рассвет тело заплести в любовь сорт драгоценный из вино крестить сероглазый херувим удар плеть эй вы задержать новый год часы указать обратный ход он спеть спрыгнуть с берег на лёд и стать незаметный 
18,"Коллекционер оружия",Что ты будешь делать,никто не сделать шаг не вспомнить не заплакать она сидеть у окно и просить о удача она как солнце свет она девятнадцать год кругом глухой стена а в она сойтись змея и волк и между они то любовь а то измена я быть один в этот день я мерять они на год и в одночасье сгореть любимый я город но тут войти она я спутать имя и стать белый мел война с весь сторона а я опять влюбить что ты быть делать что быть делать ты когда в твой грудь застучать часовой бомба и я звонить ты домой для тот чтобы узнать что ты нет дом переписать свой жизнь на чистый страница и ты увидеть что любовь не ведать граница последний звезда упасть в провод и снег белый мел война с весь сторона а я опять влюбить что ты быть делать что быть делать ты когда в твой грудь застучать часовой бомба и я звонить ты домой для тот чтобы узнать что ты нет дом никто не сделать шаг не вспомнить не заплакать она сидеть у окно и просить о удача она как солнце свет она девятнадцать год и снег белый мел война с весь сторона а я опять влюбить что ты быть делать 
19,"Коллекционер оружия",Рыба без трусов,а по море да по волна сегодня здесь а завтра там я целый день плескаться в мор голый жопа к рыбак дурдома нет без дурак рыбалка нет рыбак а я рыба а я рыба а я рыба без трус па рано рано поутру я корча рожа осётр он подруга весь неделя метать красный икра и у я полно враг среди пузатый осетровый а я рыба а я рыба а я рыба без трус а я плыть куда хотеть и я поить я не молчать и шар земной не сам кружиться это я он вертеть пускай волноваться море покуда вертеться земля я выплывать на поверхность и видеть мачта корабль а я рыба без трус а я рыба без трус а я рыба а я рыба а я рыба без трус пускай волноваться море покуда вертеться земля я выплывать на поверхность и видеть мачта корабль а на борт сидеть пират он курить крепкий самосад он и начальник контрразведка и народный депутат он мочь весь что не мочь мы пред он трепетать весь ум он мочь росчерк перо в июль вызвать наступление зима спасти он кума от кума отдать бомж свой штаны и невиновный отпустить если надо из тюрьма порой я кажется что я обыкновенный свинья обыкновенный морской полосатый свинья я позволить пинать я позволить сожрать но перед это перед это ты суметь я поймать а я рыба без трус а я рыба без трус а я рыба а я рыба а я рыба без трус а по море да по волна сегодня здесь а завтра там а я рыба а я рыба а я рыба трам пам пам 
20,"Коллекционер оружия",Сказка,мы идти дорогой горемыка искать свой судьба в один деревня на ночлег старик пустить в изба мы пить крепкий самогон хозяин быть к мы добрый река бежать за окно шуметь сосновый бора я пить чуть большой чем мочь но маленький чем хотеть когда я пить я не поить я не поить кричать hикто я глотка не заткнуть не запретить мой пляс hо тут старик сказать дать я и начать свой рассказ иван быть сказочно богатый но не иметь ребёнок иван накрыть дубовый стол и пригласить гость он переспать с один вдовый вдова сказать ждать теперь зима я разрешиться когда пойти дождь иван счастливый захрапеть как красноармейский полк он крепко спасть когда в сон он явиться волк волк молвить если хотеть дочь бросить голова в огонь захотеть сын так отдать я правый ладонь hе быть упрямый как осесть быть чистый как слеза hо знать захотеть обмануть вдова родить козёл сказать весь это волк исчезнуть иван открыть глаз вдова лежалый на бок поглаживать зад иван напялить на себя ботинок и трус запрячь три быстрый вороной и конь понести иван скакать четыре день к кудыкин горе там на горе жить друг макар весь в злато серебро макар служилый городов и пропивать навар узнать о ванин беда сказать споймать тварь они расставить капкан вдоль лесной дорога попасться левый сова и заяц но не попасться волк друг надыбали жратва и ринуться в леса пока гоняться за волк кончиться весна иван весь лето пить вино гулять вдоль болото вдова сидеть у окно и гладить живот однажды августовский днём заслышать ванин крик вдова схватить керосин и поджечь тростник то быть как есть условный знак заполыхать пожар ещё не наступить сентябрь как прискакать макар макар раздвинуть камыш и глянуть сквозь огонь а там иван без голов и где он ладонь макар ругнуться е мой но тихо не с зло вдова не дождаться дождь и родить козёл с тот пора прошлый двенадцать год макар за взятка сесть козёл пустить в огород и козлик окосеть иван схоронить у болото там тихо ни душа и из грудь он расти цветной камыш старик закончить тихо встать открыть мы сеновал друг заснуть сеять же час и только я не спасть я думать глядеть на луна что стать с вдовый весь ночь сквозь храп мой друг я слышать волчий вой однажды в нбк быть спеть и из грудь он расти цветочек анаша 
21,"Коллекционер оружия",Нечего делать внутри,нечего делать внутри я стоять на порог ждать когда кто нибыть треснуть я дверь по морда ждать когда кто нибыть переломать я рука или попросить войти или выгнать нафиг кто я такой наркоман алкоголик бродяга женщина смотреть в глаз я и плакать от жажда и половина из они чтить я как герой другой же честь как отъявленный негодяй знать я хотеть убежать но я некуда деться нота и текст ты утром получить по почта я прийти с война распахнуть шинель а под она биться сердце и это сердце никто никогда не растоптать флот потопить остаться один адмирал на фонарь объявиться хороший человек в день когда стрелка сойтись я сказать свой мама мама твой сын пацифист это неизлечимый вполголоса радость нет так орь мой глотка рвать тишина как струна свой вопль истошный бить в барабан стрелять из зенитный орудие только смотреть не забыть за стена спать ребёнок знать я хотеть убежать но я некуда деться нота и текст ты утром получить по почта я прийти с война распахнуть шинель а под она биться сердце и это сердце никто никогда не растоптать
22,"Коллекционер оружия",Иди через лес,идти через лес идти через ягода сосновый иголка к радуга на сердце я пойти за ты я быть искать ты всюду до самый до смерть мы сказать то что мы один на этот земля мы поверить бы имя но мы услышать выстрел в тот башня я хотеть бы чтобы это тело петь ещё но озеро в глаз замерзать так быстро я страшно связать весь мой нить узелок время поезд уйти по рельс пешком время корабль лечь на дно и только волна только волна над мы только ветер и тростник весь что я хотеть узнать я вызнать из книга весь что я хотеть сказать не передать слово не высказать я это чудо из чудо знаешь я хотеть уйти с ты сквозь лес но что то держать я в это город на это проспект я хотеть бы чтобы тело твой петь ещё и я быть искать ты всюду до самый до смерть сколько дорога вести из дом домой о это лишь бог ведать сколько камень лечь вокруг мы и вот опять кольцо я много курить но сквозь сиреневый дым я видеть мир как он есть иногда я видеть твой лицо а на зелёный трава на зелёный трава не спрятать красный маки не спрятать рисовый зерно а на большой высота лететь самолёт и посылать мы знак что дождь быть скоро мы сказать то что мы один на этот земля и мы смотреть в небо но небо мы не слышать небо мы не внемлет и я хотеть бы улететь с ты на луна чтобы большой никогда не вернуться на земля никогда не вернуться сколько дорога вести из дом домой о это лишь бог ведать сколько камень лечь вокруг мы и вот опять кольцо я много курить но сквозь сиреневый дым я видеть мир как он есть иногда я видеть твой лицо
23,"Фонарь под глазом",Молитва,помиловать господь тот кто не пропеть ты хвала помиловать господь тот кто выпить чаять и съесть халва помиловать господь тот кто изменить свой жена помиловать господь тот кто писать слово на стена помиловать господь тот кто дремать на свой пост помиловать господь тот кто расплескать здесь кислота помиловать господь тот кто дать мой трава огонь помиловать господь я помиловать господь я
